Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.7958380456910201,0.37745098039215685,0.01725296885503025,0.03299764302549818,0.6639914671573243
Decision Tree,0.7982356932820629,0.5789473684210527,0.002464709836432893,0.0049085229808121375,0.7174153629320859
Random Forest,0.7980999773806831,0.0,0.0,0.0,0.7174194144333476
