Model,Accuracy,Precision_macro,Recall_macro,F1_macro,F1_weighted,ROC_AUC_OVR_weighted
Random Forest,0.7435028248587571,0.703287036761973,0.7069033484323225,0.6996332348359457,0.7512909131831293,0.9006683003635474
Logistic Regression,0.7254237288135593,0.6968591091315511,0.7007093024389924,0.6885166571592931,0.7384005558294968,0.8965807379443694
Decision Tree,0.6655367231638418,0.6685808341745269,0.6591432923599062,0.6396347020354487,0.6871922794412928,0.8260990259237617
