Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.58570459172133,0.3047492306412709,0.8209724400627381,0.4444983622467548,0.7226587930036694
Decision Tree,0.565980547387469,0.2979125640015754,0.8474120546717454,0.4408439212029374,0.7164501975367228
Random Forest,0.5488803438136168,0.29384028141606167,0.8796773470759579,0.44052962298025133,0.7255939215085261
